sku;country;stock_flat;stock_atomic;last_update_flat;last_update_atomic;publication_status_atomic;publication_status_flat
H002432S 18;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002432S 19;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002432S 20;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002432S 21;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002432S 22;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002432S 25;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002432S 26;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002432S 28;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002443CA89;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002453S 02;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002453S 05;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002453S 07;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002453S 09;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002626S 17;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002626S 19;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002692G;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 01060;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 01065;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 01070;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 01075;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 01080;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 01085;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 01090;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 2R050;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 2R060;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 2R065;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 2R070;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 2R075;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 2R080;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 2R085;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 2R090;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 8F050;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 8F060;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 8F065;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 8F070;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 8F075;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 8F080;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 8F085;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002698G 8F090;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002730S 01;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002730S 02;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002730S 04;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002730S 06;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002730S 08;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002730S 09;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002730S 12;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002751S 40;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002751S 56;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002795S 04;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002796S 01;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002796S 02;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002796S 08;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
